country,share_energy,share_finance,share_manufacturing,share_mining,share_other,share_real_estate,share_technology,hhi_concentration,selfMade_ratio,life_expectancy_country,gross_tertiary_education_enrollment,gdp_country,n_billionaires
Algeria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,76.7,51.4,169988236398.0,1
Andorra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.5,66.3,3154057987.0,1
Argentina,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.625,1.0,76.5,90.0,449663446954.0,4
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,74.9,54.6,13672802158.0,1
Australia,0.0,0.4186046511627907,0.09302325581395349,0.0,0.023255813953488372,0.046511627906976744,0.4186046511627907,0.36181719848566796,0.6744186046511628,82.7,113.10000000000001,1392680589329.0,43
Austria,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.25,0.16666666666666666,0.08333333333333333,0.22222222222222224,0.6666666666666666,81.6,85.1,446314739528.0,12
Bahamas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,78.5,66.3,19910000000000.0,2
Bahrain,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.2,50.5,38574069149.0,1
Belgium,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.375,0.25,81.6,79.7,529606710418.0,4
Bermuda,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,78.5,66.3,19910000000000.0,2
Brazil,0.0,0.36363636363636365,0.0,0.0,0.3409090909090909,0.11363636363636363,0.18181818181818182,0.2944214876033058,0.38636363636363635,75.7,51.3,1839758040766.0,44
British Virgin Islands,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,78.5,66.3,19910000000000.0,1
Cambodia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,69.6,13.7,27089389787.0,1
Canada,0.023809523809523808,0.35714285714285715,0.07142857142857142,0.0,0.2857142857142857,0.11904761904761904,0.14285714285714285,0.2494331065759637,0.7142857142857143,81.9,68.9,1736425629520.0,42
Cayman Islands,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.5555555555555556,0.6666666666666666,78.5,66.3,19910000000000.0,3
Chile,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.5,0.3888888888888889,0.5,80.0,88.5,282318159745.0,6
