finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,title,date,birthYear,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,associated_companies,number_of_companies
211000,Fashion & Retail,Bernard Arnault & family,74.08076659822039,France,Paris,Retail and Consumer Goods,Consumer Discretionary,France,False,U,M,1949-03-05 00:00:00,Chairman & CEO,2023-04-04 05:01:00,1949.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,"LVMH (Louis Vuitton, Dior, Givenchy, Tiffany & Co., Moët & Chandon, Sephora, Bulgari, Hublot)",75
180000,Automotive,Elon Musk,51.76728268309377,United States,Austin,Technology,Consumer Discretionary,United States,True,D,M,1971-06-28 00:00:00,"CEO, Founder & Engineer",2023-04-04 05:01:00,1971.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Tesla, SpaceX, X (Twitter), Starlink, The Boring Company, Neuralink, xAI, SolarCity",7
114000,Technology,Jeff Bezos,59.22518822724162,United States,Medina,Technology,Technology & Telecommunications,United States,True,D,M,1964-01-12 00:00:00,Executive Chair & Founder,2023-04-04 05:01:00,1964.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Amazon, Blue Origin, The Washington Post, Bezos Expeditions, Altos Labs, Nash Holdings",100
107000,Technology,Larry Ellison,78.62833675564681,United States,Lanai,Technology,Technology & Telecommunications,United States,True,U,M,1944-08-17 00:00:00,"Chairman, CTO & Cofounder",2023-04-04 05:01:00,1944.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Oracle, Tesla (stake), NetSuite, Sensei Ag, Paramount Global",5
106000,Finance & Investments,Warren Buffett,92.59411362080766,United States,Omaha,Finance and Investments,Financials & Investments,United States,True,D,M,1930-08-30 00:00:00,Chairman & CEO,2023-04-04 05:01:00,1930.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Berkshire Hathaway (GEICO, Duracell, Dairy Queen, BNSF Railway, Fruit of the Loom, Kraft Heinz)",60
104000,Technology,Bill Gates,67.43326488706366,United States,Medina,Technology,Technology & Telecommunications,United States,True,D,M,1955-10-28 00:00:00,Cofounder & Co-chair,2023-04-04 05:01:00,1955.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Microsoft, Cascade Investment, TerraPower, Breakthrough Energy, Waste Management, Deere & Co.",20
94500,Technology,Michael Bloomberg,81.13347022587268,United States,New York,Technology,"Media, Entertainment & Leisure",United States,True,U,M,1942-02-14 00:00:00,Founder & Owner,2023-04-04 05:01:00,1942.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Bloomberg LP (Bloomberg News, Bloomberg Radio, Bloomberg Businessweek, BloombergNEF, CityLab)",10
93000,Telecom,Carlos Slim Helu & family,83.1813826146475,Mexico,Mexico City,Finance and Investments,Technology & Telecommunications,Mexico,True,U,M,1940-01-28 00:00:00,Honorary Chairman & Founder,2023-04-04 05:01:00,1940.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,"América Móvil, Grupo Carso, Telmex, Sanborns, Minera Frisco, Inbursa",6
83400,Diversified,Mukesh Ambani,65.95756331279945,India,Mumbai,Technology,Other,India,False,D,M,1957-04-19 00:00:00,Chairman & Managing Director,2023-04-04 05:01:00,1957.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,"Reliance Industries (Jio Platforms, Reliance Retail, Network18, Mumbai Indians, Hamleys, Radisys)",15
80700,Technology,Steve Ballmer,67.0280629705681,United States,Hunts Point,Technology,Technology & Telecommunications,United States,True,D,M,1956-03-24 00:00:00,Owner,2023-04-04 05:01:00,1956.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,"Microsoft, Los Angeles Clippers, The Ballmer Group, Forum (Inglewood)",3
