country,share_consumer_discretionary_bin_is_high,share_consumer_discretionary_bin_is_low,share_consumer_discretionary_bin_is_mid,share_consumer_staples_bin_is_high,share_consumer_staples_bin_is_low,share_consumer_staples_bin_is_mid,share_energy_&_natural_resources_bin_is_high,share_energy_&_natural_resources_bin_is_low,share_energy_&_natural_resources_bin_is_mid,share_financials_&_investments_bin_is_high,share_financials_&_investments_bin_is_low,share_financials_&_investments_bin_is_mid,share_healthcare_bin_is_high,share_healthcare_bin_is_low,share_healthcare_bin_is_mid,share_industrials_&_manufacturing_bin_is_high,share_industrials_&_manufacturing_bin_is_low,share_industrials_&_manufacturing_bin_is_mid,"share_media,_entertainment_&_leisure_bin_is_high","share_media,_entertainment_&_leisure_bin_is_low","share_media,_entertainment_&_leisure_bin_is_mid",share_other_bin_is_high,share_other_bin_is_low,share_other_bin_is_mid,share_real_estate_&_construction_bin_is_high,share_real_estate_&_construction_bin_is_low,share_real_estate_&_construction_bin_is_mid,share_technology_&_telecommunications_bin_is_high,share_technology_&_telecommunications_bin_is_low,share_technology_&_telecommunications_bin_is_mid,share_energy_and_utilities_source_bin_is_high,share_energy_and_utilities_source_bin_is_low,share_energy_and_utilities_source_bin_is_mid,share_finance_and_investments_source_bin_is_high,share_finance_and_investments_source_bin_is_low,share_finance_and_investments_source_bin_is_mid,share_food_and_agriculture_source_bin_is_high,share_food_and_agriculture_source_bin_is_low,share_food_and_agriculture_source_bin_is_mid,share_healthcare_and_pharmaceuticals_source_bin_is_high,share_healthcare_and_pharmaceuticals_source_bin_is_low,share_healthcare_and_pharmaceuticals_source_bin_is_mid,share_manufacturing_and_industrial_source_bin_is_high,share_manufacturing_and_industrial_source_bin_is_low,share_manufacturing_and_industrial_source_bin_is_mid,share_media_and_entertainment_source_bin_is_high,share_media_and_entertainment_source_bin_is_low,share_media_and_entertainment_source_bin_is_mid,share_mining_and_materials_source_bin_is_high,share_mining_and_materials_source_bin_is_low,share_mining_and_materials_source_bin_is_mid,share_other_source_bin_is_high,share_other_source_bin_is_low,share_other_source_bin_is_mid,share_real_estate_and_construction_source_bin_is_high,share_real_estate_and_construction_source_bin_is_low,share_real_estate_and_construction_source_bin_is_mid,share_retail_and_consumer_goods_source_bin_is_high,share_retail_and_consumer_goods_source_bin_is_low,share_retail_and_consumer_goods_source_bin_is_mid,share_technology_source_bin_is_high,share_technology_source_bin_is_low,share_technology_source_bin_is_mid,share_transportation_and_logistics_source_bin_is_high,share_transportation_and_logistics_source_bin_is_low,share_transportation_and_logistics_source_bin_is_mid,average_wealth_bin_is_low_wealth,average_wealth_bin_is_mid_wealth,average_wealth_bin_is_high_wealth,num_billionaires_bin_is_very_few,num_billionaires_bin_is_few,num_billionaires_bin_is_many,num_billionaires_bin_is_extreme,wealth_per_capita_bin_is_low_wealth,wealth_per_capita_bin_is_mid_wealth,wealth_per_capita_bin_is_high_wealth,top_wealth_share_bin_is_low_concentration,top_wealth_share_bin_is_mid_concentration,top_wealth_share_bin_is_high_concentration,top_wealth_share_bin_is_extreme_oligarchy,sector_entropy_bin_is_low_diversity,sector_entropy_bin_is_mid_diversity,sector_entropy_bin_is_high_diversity,selfMade_ratio_bin_is_low_selfmade_ratio,selfMade_ratio_bin_is_mid_selfmade_ratio,selfMade_ratio_bin_is_high_selfmade_ratio,life_expectancy_bin_is_low,life_expectancy_bin_is_mid,life_expectancy_bin_is_high,cpi_change_bin_is_stable,cpi_change_bin_is_moderate,cpi_change_bin_is_high,cpi_change_bin_is_extreme,gdp_bin_is_very_low,gdp_bin_is_low,gdp_bin_is_mid,gdp_bin_is_high,tax_revenue_bin_is_low,tax_revenue_bin_is_mid,tax_revenue_bin_is_high,total_tax_rate_bin_is_low,total_tax_rate_bin_is_mid,total_tax_rate_bin_is_high,gross_tertiary_education_enrollment_bin_is_low,gross_tertiary_education_enrollment_bin_is_mid,gross_tertiary_education_enrollment_bin_is_high,gross_primary_education_enrollment_bin_is_low,gross_primary_education_enrollment_bin_is_mid,gross_primary_education_enrollment_bin_is_high,population_bin_is_low,population_bin_is_mid,population_bin_is_high
France,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
United States,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
Mexico,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
India,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
Spain,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
China,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True
Canada,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
Germany,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
Switzerland,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Belgium,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
